"","a","Freq"
"1","[0,1)",15376
"2","[1,2)",12031
"3","[2,3)",9478
"4","[3,4)",7977
"5","[4,5)",6801
"6","[5,6)",5481
"7","[6,7)",5042
"8","[7,8)",4724
"9","[8,9)",4606
"10","[9,10)",4885
"11","[10,11)",5014
"12","[11,12)",5459
"13","[12,13)",5395
"14","[13,14)",5592
"15","[14,15)",5552
"16","[15,16)",5338
"17","[16,17)",5321
"18","[17,18)",5141
"19","[18,19)",5447
"20","[19,20)",5384
"21","[20,21)",5377
"22","[21,22)",5552
"23","[22,23)",5801
"24","[23,24)",5597
"25","[24,25)",5759
"26","[25,26)",5667
"27","[26,27)",5526
"28","[27,28)",5265
"29","[28,29)",5265
"30","[29,30)",5104
"31","[30,31)",4873
"32","[31,32)",4716
"33","[32,33)",5059
"34","[33,34)",4964
"35","[34,35)",4962
"36","[35,36)",4469
"37","[36,37)",4152
"38","[37,38)",4315
"39","[38,39)",4125
"40","[39,40)",4313
"41","[40,41)",4607
"42","[41,42)",4710
"43","[42,43)",4705
"44","[43,44)",4606
"45","[44,45)",4324
"46","[45,46)",4205
"47","[46,47)",4266
"48","[47,48)",4376
"49","[48,49)",4136
"50","[49,50)",4179
"51","[50,51)",4143
"52","[51,52)",4105
"53","[52,53)",3862
"54","[53,54)",3969
"55","[54,55)",3943
"56","[55,56)",3748
"57","[56,57)",3743
"58","[57,58)",3730
"59","[58,59)",3764
"60","[59,60)",3735
"61","[60,61)",3503
"62","[61,62)",3448
"63","[62,63)",3500
"64","[63,64)",3468
"65","[64,65)",3371
"66","[65,66)",3180
"67","[66,67)",3401
"68","[67,68)",3145
"69","[68,69)",2666
"70","[69,70)",2243
"71","[70,71)",2573
"72","[71,72)",2732
"73","[72,73)",3020
"74","[73,74)",2572
"75","[74,75)",2875
"76","[75,76)",2961
"77","[76,77)",2941
"78","[77,78)",3169
"79","[78,79)",3367
"80","[79,80)",3269
"81","[80,81)",3379
"82","[81,82)",3414
"83","[82,83)",3639
"84","[83,84)",3725
"85","[84,85)",3535
"86","[85,86)",3234
"87","[86,87)",3128
"88","[87,88)",2935
"89","[88,89)",2720
"90","[89,90)",2368
"91","[90,91)",2148
"92","[91,92)",1921
"93","[92,93)",1670
"94","[93,94)",1344
"95","[94,95)",993
"96","[95,96)",405
"97","[96,97)",271
"98","[97,98)",194
"99","[98,99)",127
"100","[99,100)",150
"101","[100,101)",105
"102","[101,102)",51
"103","[102,103)",31
"104","[103,104)",30
"105","[104,105)",15
"106","[105,106)",9
"107","[106,107)",3
"108","[107,108)",2
"109","[108,109)",2
"110","[109,110)",0
"111","[110,111)",2
"112","[111,112)",2
"113","[112,113)",2
"114","[113,114)",9
"115","[114,115)",0
"116","[115,116)",0
"117","[116,117)",0
"118","[117,118)",0
"119","[118,119)",0
"120","[119,120]",1
