"","avc.pyramide1","Freq"
"1","[0,1)",3
"2","[1,2)",2
"3","[2,3)",4
"4","[3,4)",1
"5","[4,5)",0
"6","[5,6)",0
"7","[6,7)",1
"8","[7,8)",1
"9","[8,9)",0
"10","[9,10)",0
"11","[10,11)",2
"12","[11,12)",0
"13","[12,13)",0
"14","[13,14)",2
"15","[14,15)",0
"16","[15,16)",2
"17","[16,17)",0
"18","[17,18)",2
"19","[18,19)",3
"20","[19,20)",3
"21","[20,21)",3
"22","[21,22)",1
"23","[22,23)",4
"24","[23,24)",4
"25","[24,25)",7
"26","[25,26)",5
"27","[26,27)",3
"28","[27,28)",6
"29","[28,29)",4
"30","[29,30)",8
"31","[30,31)",7
"32","[31,32)",7
"33","[32,33)",1
"34","[33,34)",3
"35","[34,35)",8
"36","[35,36)",6
"37","[36,37)",6
"38","[37,38)",10
"39","[38,39)",4
"40","[39,40)",7
"41","[40,41)",13
"42","[41,42)",7
"43","[42,43)",20
"44","[43,44)",16
"45","[44,45)",12
"46","[45,46)",13
"47","[46,47)",17
"48","[47,48)",23
"49","[48,49)",24
"50","[49,50)",20
"51","[50,51)",23
"52","[51,52)",26
"53","[52,53)",30
"54","[53,54)",28
"55","[54,55)",43
"56","[55,56)",26
"57","[56,57)",27
"58","[57,58)",38
"59","[58,59)",27
"60","[59,60)",48
"61","[60,61)",30
"62","[61,62)",44
"63","[62,63)",46
"64","[63,64)",56
"65","[64,65)",59
"66","[65,66)",59
"67","[66,67)",61
"68","[67,68)",52
"69","[68,69)",61
"70","[69,70)",51
"71","[70,71)",42
"72","[71,72)",54
"73","[72,73)",60
"74","[73,74)",68
"75","[74,75)",71
"76","[75,76)",66
"77","[76,77)",73
"78","[77,78)",68
"79","[78,79)",93
"80","[79,80)",93
"81","[80,81)",82
"82","[81,82)",97
"83","[82,83)",114
"84","[83,84)",103
"85","[84,85)",100
"86","[85,86)",90
"87","[86,87)",99
"88","[87,88)",87
"89","[88,89)",70
"90","[89,90)",62
"91","[90,91)",51
"92","[91,92)",39
"93","[92,93)",44
"94","[93,94)",35
"95","[94,95)",24
"96","[95,96)",7
"97","[96,97)",8
"98","[97,98)",6
"99","[98,99)",3
"100","[99,100)",4
"101","[100,101)",2
"102","[101,102)",1
"103","[102,103)",1
"104","[103,104)",0
"105","[104,105)",0
"106","[105,106)",1
"107","[106,107)",0
"108","[107,108)",0
"109","[108,109)",0
"110","[109,110)",0
"111","[110,111)",0
"112","[111,112)",0
"113","[112,113)",1
"114","[113,114)",0
"115","[114,115)",0
"116","[115,116)",0
"117","[116,117)",0
"118","[117,118)",0
"119","[118,119)",0
"120","[119,120]",0
